protid	protlen	0	0	0	1	1	1												
A8K2X8	1	21.44294	21.35676	21.02439	27.51676	27.83744	27.34908												
B2R9K8	1	20.17597	19.99272	19.95603	27.8846	27.92388	27.62659												
B5BTY7	1	21.85148	22.03671	21.9407	27.39942	27.44932	27.54694												
O14737	1	21.03059	20.54548	21.56123	28.76696	28.86304	28.60145												
P17987	1	17.85392	17.0281	18.56309	27.4677	27.4964	27.33048												
Q59H77	1	19.61184	19.67721	19.23673	27.72175	27.93568	27.5947												
P50990	1	22.38743	22.56686	22.1832	27.88052	28.13256	27.85863												
P50991	1	18.2702	19.35316	18.61924	27.32071	27.30583	27.11088												
Q53HV2	1	20.17524	20.24853	19.75053	27.4538	27.50325	27.39116												
P16104	1	17.04511	21.57658	16.06153	21.6756	18.18093	21.91554												
P04406	1	20.84445	20.82648	20.52258	20.91634	21.22588	20.78532												
A5JHP3	1	21.5695	21.77989	16.98853	21.44081	21.40561	20.8966												
A5YM50	1	22.25381	22.27523	22.3938	20.48886	20.20729	20.32608												
A6NE09	1	19.60259	20.11426	19.26591	19.04354	18.54808	17.21706												
P30044	1	19.97519	20.10917	19.06863	18.47908	18.01149	18.66837												
A6NHL2	1	16.27894	16.07361	16.8989	17.68499	15.52398	16.64005												
A8K0T9	1	17.5	19.27394	18.9881	18.06098	17.16758	16.77324												
A8K220	1	22.1986	22.38929	22.38087	21.16944	21.32592	21.29418												
A8K3K1	1	17.65141	18.28707	16.90648	15.55354	15.72711	17.30632												
A8K4I2	1	20.76418	20.74993	21.21561	21.25678	21.20574	20.81245												
Q99615	1	17.26984	18.26467	17.81942	17.05523	17.88267	16.65556												
B4DSZ4	1	19.52338	19.43561	19.70301	18.72341	19.21295	19.45617												
A8K4Z4	1	17.82607	17.72419	15.61066	15.81553	17.74059	17.51518												
Q59EJ3	1	20.3722	19.70376	20.21916	19.89714	19.99175	20.05457												
Q59EM9	1	25.01933	25.02817	25.25324	24.37498	24.61352	24.12123												
Q3ZCU9	1	16.68366	17.22239	16.99913	16.93082	16.60097	17.33755												
Q05D08	1	19.58187	19.67385	19.48418	17.04255	17.31607	16.87639												
Q14240-2	1	20.29019	16.87264	18.7028	17.21878	17.3111	17.43529												
Q59HD4	1	22.9206	23.02955	22.65014	21.91368	21.96141	22.22335												
A8K9C4	1	25.19363	25.12912	24.41125	24.75903	24.928	24.59087												
A8KAY2	1	17.3623	17.65194	17.38799	16.58807	18.03223	17.94092												
C9JS35	1	19.71	19.57119	19.18175	18.66716	18.48562	18.95311												
C9JE52	1	21.74755	21.54628	21.21804	20.50048	20.27537	20.84805												
E7EX29	1	19.81649	19.99811	19.79994	18.96002	18.55981	19.11802												
B2R4P2	1	21.84219	21.74086	20.95865	21.18707	17.35854	20.667												
E9PAV3	1	19.63336	19.85194	19.99189	19.41607	19.86116	17.59601												
B2R4R0	1	18.54582	20.73513	20.94528	20.9234	21.9374	20.9102												
B2R4R9	1	21.36335	21.36608	21.48094	21.57768	20.64262	21.08868												
B2R4U3	1	19.57873	19.47781	18.81994	17.99722	17.64934	17.69965												
B2R679	1	23.11618	22.90564	22.8795	22.50913	22.308	22.55194												
B2R9U2	1	16.70504	17.30696	16.39207	17.22315	17.21392	16.94009												
B2RBR9	1	18.6568	18.27653	17.93161	17.96002	17.45282	18.32935												
P10809	1	23.93454	23.96402	23.99136	23.44468	23.2764	23.46376												
B3KM68	1	19.31358	19.20125	18.97396	16.25668	18.25362	16.57732												
B3KUH0	1	17.05801	17.9016	19.00256	17.38616	15.89326	18.06615												
E9PDP1	1	19.56744	19.48564	19.48156	18.37105	18.27362	18.7264												
P04350	1	16.85094	18.33136	19.15247	16.94814	17.74995	16.56077												
P32119	1	17.0827	16.93012	17.40475	17.76032	17.44621	18.0944												
Q15417	1	19.49717	19.00306	18.5068	16.23989	18.66171	19.17767												
P08238	1	21.50896	21.49892	21.6747	20.74041	19.85345	20.78987												
D3DPU2	1	21.6832	21.56025	21.57261	21.13871	20.94027	21.01004												
P27348	1	19.05931	17.18165	16.87782	17.10118	16.91788	18.07608												
E9PCF5	1	21.01536	20.88487	20.59596	20.02188	20.60991	19.93848												
Q14103	1	20.51768	20.62819	20.17207	19.77349	19.95844	20.11032												
P25685	1	16.4296	15.51336	16.76997	18.82448	16.52999	17.56193												
Q15785	1	19.30108	19.34886	19.13508	17.85515	17.24573	16.80598												
B4DZF2	1	17.18549	17.53374	18.33988	16.23582	16.9198	17.20416												
B5BU38	1	21.04059	20.88502	20.86439	18.36158	18.94135	16.53514												
E7EQR4	1	18.95923	18.9798	18.53069	17.41753	16.41974	17.7951												
E9PAN3	1	19.20557	19.4868	20.23911	18.23193	19.54538	19.36602												
P22626	1	20.31274	20.01522	18.98151	19.64375	20.24098	19.74498												
C7DJS2	1	17.94159	18.26781	17.71091	16.34532	17.00877	17.29584												
P18085	1	22.84364	22.81016	22.56813	22.2741	21.73719	22.17618												
Q53F37	1	17.79371	17.75215	17.37138	16.84039	16.93211	17.59234												
D6W4Z6	1	20.38669	20.38943	20.23421	19.6097	19.409	20.2207												
P15924	1	17.31456	17.38259	16.95984	18.03004	17.45421	16.70534												
E7ETK2	1	18.29894	17.60824	17.5474	16.52044	16.97056	16.52645												
Q8TAT6-2	1	19.63839	20.18386	18.57186	18.21062	17.97885	16.70952												
Q9H0U4	1	23.89208	23.98198	23.74273	22.67282	22.63962	22.37263												
E9KL23	1	20.19039	18.37422	17.38497	19.48016	16.45898	17.42385												
E9KL35	1	22.7494	22.82188	23.23513	22.19403	22.20735	22.10246												
E9KL39	1	23.27056	23.22121	23.03547	22.45749	21.99016	22.59855												
E9PDH9	1	19.58989	19.63041	18.8317	16.97905	18.34508	16.89386												
Q8WUD1	1	19.60047	19.71431	19.1277	17.10974	19.05658	18.01028												
E9PK25	1	22.4381	22.38922	22.36666	21.75087	21.28308	21.29435												
O43175	1	21.11108	20.84751	20.54425	19.98607	19.97533	19.86478												
O60493	1	20.12943	20.30775	20.00498	19.04705	17.07916	16.51069												
O60664	1	22.81284	22.78905	22.8987	22.01376	22.08443	21.56941												
P04632	1	22.87076	22.89759	23.22585	21.78788	21.66635	21.91232												
P04792	1	23.466	23.29852	22.92664	22.68541	22.72837	22.47338												
P05198	1	19.6046	19.77038	20.09171	19.89141	19.54542	19.34953												
P05387	1	21.68166	21.4206	21.29558	20.65211	20.97526	20.30162												
P06733	1	20.06894	19.9805	20.20275	17.23294	19.39897	19.33723												
P07355-2	1	25.34996	25.25158	25.17976	24.09184	23.9968	24.0441												
P07384	1	21.46508	21.429	21.70771	19.9959	19.90806	19.46408												
P07437	1	24.5093	24.59024	24.54646	22.91379	22.79198	23.11634												
P07737	1	20.42634	20.55515	16.73716	19.72442	19.87533	19.66007												
P07900-2	1	17.32102	15.5011	17.60533	16.36718	18.14835	17.08387												
P08758	1	19.69729	19.32854	19.04817	18.29212	18.16315	19.23916												
P09211	1	22.56888	22.45493	22.36209	22.41568	22.29765	21.92401												
P09382	1	25.12017	25.13739	24.96354	24.19024	23.97044	24.05961												
P09651	1	19.90721	19.9045	19.93934	19.30425	19.05261	19.30828												
P11142	1	23.61358	23.56023	24.01171	23.54097	23.31769	23.14404												
P11586	1	19.62578	20.54501	20.32608	17.81965	19.10991	16.76862												
P13639	1	23.80902	23.84	23.60162	22.4743	22.20774	22.27481												
P14618	1	22.23248	22.28729	21.86359	21.69562	21.39037	21.54581												
P18206	1	21.10534	21.0001	19.93531	18.44273	19.34953	19.23079												
P20290	1	19.05515	18.77481	18.83201	17.28506	17.59213	18.37954												
P25398	1	23.54981	23.68752	23.9228	23.2254	23.59309	23.01667												
Q9BUQ0	1	19.67533	20.05669	20.02797	19.48599	18.95356	19.06321												
P30050	1	19.5282	19.22771	19.76158	19.58602	19.40674	19.05608												
P31151	1	21.41101	20.94049	17.67464	17.65567	16.86133	17.67002												
P46060	1	17.41218	16.31357	17.86077	18.2444	18.51837	17.7381												
P48643	1	18.24529	16.44629	16.80848	17.40421	18.3968	16.80939												
P51148	1	22.42401	22.49931	22.80075	21.62582	21.73723	21.4171												
P51149	1	21.89807	21.86948	21.64777	20.35681	20.17121	20.69702												
P61026	1	21.11388	22.00717	16.40936	20.01209	20.61746	20.56104												
P61088	1	21.85935	21.72226	21.87376	20.92832	20.85681	20.85711												
P61106	1	16.84908	17.8136	17.00607	17.29525	17.0999	16.80307												
P61204	1	21.42992	21.4289	21.03113	21.60603	21.18041	21.39603												
P61289-2	1	22.46214	22.42846	22.45651	21.61553	21.28444	21.46523												
P62258	1	15.90053	16.69171	17.89677	16.81378	15.69759	17.2101												
Q01995	1	21.99186	21.96116	22.44831	21.29905	21.51831	21.04414												
Q02413	1	19.08613	19.28297	18.48821	17.01407	18.01257	16.26142												
Q06323	1	23.0555	23.03174	23.0523	22.30563	22.26959	22.29955												
Q07812-2	1	20.52726	20.44799	20.19484	19.19359	18.97259	19.80985												
Q09666	1	22.77412	22.6297	21.90705	22.6742	23.10792	22.4803												
Q13748	1	17.92476	16.06442	16.0866	16.33296	16.85818	17.14907												
Q13885	1	16.22638	16.66555	17.55659	17.64022	17.3861	16.95564												
Q15365	1	24.66622	24.74242	24.65589	23.77062	23.85158	23.54109												
Q9UMY4	1	17.29476	17.33109	15.93148	16.89334	17.65937	16.41726												
Q53GA7	1	16.60637	16.00322	17.03156	17.37824	17.56524	19.2664												
Q549M8	1	19.77843	19.70592	18.89552	17.05412	18.03859	17.81947												
Q562R1	1	15.61821	17.93727	17.60435	16.29778	17.38981	16.14947												
Q5T6W5	1	20.83977	21.10687	20.64086	19.81011	19.92268	20.32202												
Q5T749	1	20.20884	20.02445	20.65421	19.93919	19.96888	19.5098												
Q6FG99	1	20.68603	20.81096	20.92796	20.37592	20.44556	20.28275												
Q6GPH4-6	1	17.45312	17.14393	16.4793	17.29402	17.28194	16.86516												
Q96C19	1	15.74879	18.64776	18.75818	16.76085	17.58502	17.33129												
Q96FQ6	1	20.54519	20.61648	19.14143	19.61153	17.51044	17.52076												
Q9BUF5	1	18.12246	16.98663	17.94654	14.72179	18.71585	16.6628												
Q9Y3D6	1	16.61321	16.02214	17.00952	17.66581	17.96566	16.83891												
Q9Y490	1	22.33066	22.39676	22.3996	20.73422	21.23403	21.39571												
